Id,Label,date,lat,long,name,node_class,site_class
10352,Atlanta Gas Light Company - Griffin MGP Site,1/11/95,33.24389,-84.26833,Atlanta Gas Light Company - Griffin MGP Site,Site,RP
10353,Marzone/Chevron - NPL Site OU2 (formerly Golden Seed Site),1/3/95,31.42972,-83.50194,Marzone/Chevron - NPL Site OU2 (formerly Golden Seed Site),Site,RP
10354,Barnett Shoals Road,3/9/95,33.92528,-83.34083,Barnett Shoals Road,Site,A
10355,General Time Corporation,1/30/95,33.98,-83.39389,General Time Corporation,Site,RP
10360,Douglas & Lomason Company,3/13/95,33.58361,-85.09417,Douglas & Lomason Company,Site,RP
10365,Goldberg Brothers,4/6/95,33.43861,-81.99389,Goldberg Brothers,Site,A
10366,"Forstmann & Company, Inc.  (1,1-DCA Site)",4/6/95,32.53472,-82.87972,"Forstmann & Company, Inc.  (1,1-DCA Site)",Site,A
10367,Sun Laboratories of Atlanta,4/10/95,33.7575,-84.55111,Sun Laboratories of Atlanta,Site,A
10371,Southern States Phosphate & Fertilizer Co.,5/23/98,32.07333,-81.0625,Southern States Phosphate & Fertilizer Co.,Site,RP
10372,"Truman Parkway, Phase II",5/8/95,32.06944,-81.07472,"Truman Parkway, Phase II",Site,A
10376,"Loef Company, Inc. (The)",6/5/95,33.98167,-83.3425,"Loef Company, Inc. (The)",Site,RP
10382,"GNB Technologies, Inc.",7/24/95,32.43611,-84.93194,"GNB Technologies, Inc.",Site,RP
10384,J. Strom Thurmond Lake Airstrip #1,8/11/95,33.66,-82.24778,J. Strom Thurmond Lake Airstrip #1,Site,RP
10385,Baldwin County Sanitary Landfill,8/4/95,32.96528,-83.33306,Baldwin County Sanitary Landfill,Site,L
10386,Laurens County Municipal Solid Waste Landfill,8/4/95,32.56083,-82.99306,Laurens County Municipal Solid Waste Landfill,Site,L
10387,Hightower Road  MSW Landfill - Phase 2,8/4/95,34.32972,-84.25639,Hightower Road  MSW Landfill - Phase 2,Site,L
10388,Madison County Sanitary Landfill 2&3 (SL),8/4/95,34.09833,-83.20361,Madison County Sanitary Landfill 2&3 (SL),Site,L
10389,Morgan County Municipal Solid Waste Landfill,8/4/95,33.63194,-83.45306,Morgan County Municipal Solid Waste Landfill,Site,L
10390,Screven County Municipal Solid Waste Landfill,8/4/95,32.74444,-81.68361,Screven County Municipal Solid Waste Landfill,Site,L
10391,Statesboro/Bulloch County Lakeview Rd. Landfill,8/4/95,32.48083,-81.78972,Statesboro/Bulloch County Lakeview Rd. Landfill,Site,L
10392,Clayton Co. SR3- Lovejoy Site #2 MSWL,8/4/95,33.43861,-84.30667,Clayton Co. SR3- Lovejoy Site #2 MSWL,Site,L
10393,Tift Site,8/21/95,33.66694,-84.42583,Tift Site,Site,RP
10395,"Hunter Army Airfield, Fire Training Area",8/25/95,32.01444,-81.14417,"Hunter Army Airfield, Fire Training Area",Site,RP
10401,"Forstmann & Company, Inc. (Old Burn Pit)",10/20/95,32.54028,-82.88528,"Forstmann & Company, Inc. (Old Burn Pit)",Site,A
10402,Central of Georgia Railroad Company - Macon Site,11/8/95,32.82389,-83.63444,Central of Georgia Railroad Company - Macon Site,Site,RP
